GRC,2006,2011,2015,2020
Aljunied,43.91,54.72,50.95,59.93
East Coast ,36.14,45.17,39.27,46.59
Seng Kang*,0,41.89,37,52.1
West Coast ,0,33.43,21.43,48.97
Hougang,62.74,64.8,57.69,61.19
Marine Parade,0,43.36,35.93,42.24
Potong Pasir,55.82,49.64,33.59,39.31
Popular,66.6,39.86,30.14,39
Worker's Party,0,41.02,39.75,50.49
Bukit Batok,0,0,26.4,45.2
Bukit Panjang,0,0,31,46.26
Ang Mo Kio ,33.86,30.67,21.37,28.09
